Job Role,Company Name,Location,Date Posted,Apply Link,Company Link,No. of Applicants,Job Description,Source,website,apply_link_url
Sales Manager - Outbound Sales (Facebook Lead Generation & Meta Ads),411 Locals,Chennai,2026-08-19,https://www.careerbuilder.com/job-details/sales-manager-outbound-sales-facebook-lead-generation-meta-ads--53c90b3f-267a-4ff0-bf53-534f5468a58f,https://www.411locals.com,Actively Hiring,"411 Locals Sales Manager - Outbound Sales (Facebook Lead Generation & Meta Ads) Remote $50,000–$100,000 / year 30+ days ago",CareerBuilder,https://www.411locals.com,https://www.careerbuilder.com/job-details/sales-manager-outbound-sales-facebook-lead-generation-meta-ads--53c90b3f-267a-4ff0-bf53-534f5468a58f
VP of Partner Sales & Lead Generation - US Based,Vensure Employer Services Inc,AZ,2026-08-27,https://www.careerbuilder.com/job-details/vp-of-partner-sales-lead-generation-us-based-phoenix-az--c6b0e647-a6d7-4972-a448-cf15a44251fd,https://www.vensureemployer.com,Actively Hiring,Vensure Employer Services Inc VP of Partner Sales & Lead Generation - US Based AZ 22 days ago,CareerBuilder,https://www.vensureemployer.com,https://www.careerbuilder.com/job-details/vp-of-partner-sales-lead-generation-us-based-phoenix-az--c6b0e647-a6d7-4972-a448-cf15a44251fd
Senior Auto Sales Executive - Outside Sales & Account Generation,D&M Leasing,"Austin, TX",2026-08-27,https://www.careerbuilder.com/job-details/senior-auto-sales-executive-outside-sales-account-generation-austin-tx--cac7c69c-30c0-4c64-b690-dc09ad695e75,https://www.dmleasing.com,Actively Hiring,"D&M Leasing Senior Auto Sales Executive - Outside Sales & Account Generation Austin, TX $400,000 / year 22 days ago",CareerBuilder,https://www.dmleasing.com,https://www.careerbuilder.com/job-details/senior-auto-sales-executive-outside-sales-account-generation-austin-tx--cac7c69c-30c0-4c64-b690-dc09ad695e75
Senior Auto Sales Executive – Outside Sales & Account Generation,D&M Auto Leasing,"Austin, Texas",2026-08-19,https://www.careerbuilder.com/job-details/senior-auto-sales-executive-outside-sales-account-generation-austin-tx--1e0a7853-2f79-4794-a8ad-89a29aeb8091,https://www.dmautoleasing.com,Actively Hiring,"D&M Auto Leasing Senior Auto Sales Executive – Outside Sales & Account Generation Austin, Texas 30+ days ago",CareerBuilder,https://www.dmautoleasing.com,https://www.careerbuilder.com/job-details/senior-auto-sales-executive-outside-sales-account-generation-austin-tx--1e0a7853-2f79-4794-a8ad-89a29aeb8091
North America Proactive Large Deal Generation Pre-Sales Lead - US Remote,"NTT DATA Services, LLC","Plano, TX",2026-08-19,https://www.careerbuilder.com/job-details/north-america-proactive-large-deal-generation-pre-sales-lead-us-remote-plano-tx--dddaf77f-b3dc-41dd-9f2c-b9c3d56cd5a7,https://www.nttdata.com,Actively Hiring,"NTT DATA Services, LLC North America Proactive Large Deal Generation Pre-Sales Lead - US Remote Plano, TX Remote $225,000–$450,000 / year 30+ days ago",CareerBuilder,https://www.nttdata.com,https://www.careerbuilder.com/job-details/north-america-proactive-large-deal-generation-pre-sales-lead-us-remote-plano-tx--dddaf77f-b3dc-41dd-9f2c-b9c3d56cd5a7
Lead Generation Sales,Stargate HR,"Tampa, Florida",2026-08-19,https://www.careerbuilder.com/job-details/lead-generation-sales-tampa-fl--d4d5d32b-0bd2-49a0-8430-5cc58662ce58,https://www.stargatehr.com,Actively Hiring,"Stargate HR Lead Generation Sales Tampa, Florida 30+ days ago",CareerBuilder,https://www.stargatehr.com,https://www.careerbuilder.com/job-details/lead-generation-sales-tampa-fl--d4d5d32b-0bd2-49a0-8430-5cc58662ce58
Lead Generation Representative - Remote,UnitedHealth Group Inc.,"Minnetonka, MN",2026-09-07,https://www.careerbuilder.com/job-details/lead-generation-representative-remote-minnetonka-mn--90417b60-442d-4159-911a-f21149048f67,https://www.unitedhealth.com,Actively Hiring,"UnitedHealth Group Inc. Lead Generation Representative - Remote Minnetonka, MN Remote $50,000–$115,000 / year 11 days ago",CareerBuilder,https://www.unitedhealth.com,https://www.careerbuilder.com/job-details/lead-generation-representative-remote-minnetonka-mn--90417b60-442d-4159-911a-f21149048f67
Field Sales Representative (Door-To-Door Lead Generation / Outside Sales),Keycafe,"Dallas, TX",2026-08-19,https://www.careerbuilder.com/job-details/field-sales-representative-door-to-door-lead-generation-outside-sales-dallas-tx--6c7673f7-eb6a-4898-87fa-946bec128f91,https://www.keycafe.com,Actively Hiring,"Keycafe Field Sales Representative (Door-To-Door Lead Generation / Outside Sales) Dallas, TX $55,000–$75,000 / year 30+ days ago",CareerBuilder,https://www.keycafe.com,https://www.careerbuilder.com/job-details/field-sales-representative-door-to-door-lead-generation-outside-sales-dallas-tx--6c7673f7-eb6a-4898-87fa-946bec128f91
Field Sales Representative (Door-to-Door Lead Generation / Outside Sales),Keycafe,"Dallas, TX",2026-08-19,https://www.careerbuilder.com/job-details/field-sales-representative-door-to-door-lead-generation-outside-sales-dallas-tx--29003b6a-3ea9-4cc5-a68d-89ee6695628c,https://www.keycafe.com,Actively Hiring,"Keycafe Field Sales Representative (Door-to-Door Lead Generation / Outside Sales) Dallas, TX $55,000–$75,000 / year 30+ days ago",CareerBuilder,https://www.keycafe.com,https://www.careerbuilder.com/job-details/field-sales-representative-door-to-door-lead-generation-outside-sales-dallas-tx--29003b6a-3ea9-4cc5-a68d-89ee6695628c
"Sales Executive Lead, Card Issuing, Regional and Community Banking",Fidelity National Information Services Inc,"Jacksonville, FL",2026-08-19,https://www.careerbuilder.com/job-details/sales-executive-lead-card-issuing-regional-and-community-banking-jacksonville-fl--0aa7de76-a0a4-4ffb-ac65-dacb73f2caef,https://www.fidelitynationalinformation.com,Actively Hiring,"Fidelity National Information Services Inc Sales Executive Lead, Card Issuing, Regional and Community Banking Jacksonville, FL 30+ days ago",CareerBuilder,https://www.fidelitynationalinformation.com,https://www.careerbuilder.com/job-details/sales-executive-lead-card-issuing-regional-and-community-banking-jacksonville-fl--0aa7de76-a0a4-4ffb-ac65-dacb73f2caef
